A,B,C,N,L1,L1rT,L1p,L2,L2rT,L2p,L3,L3rT,L3p,L4,L4rT,L4p,L5,L5rT,L5p,kFeature1,kFeature2,kFeature3,kFeature4,Homepage,Documentations
https://raw.githubusercontent.com/tianshu-z/tianshu-z.github.io/master/data/img/hololens-microsoft.jpg,Hololens,Microsoft,US,Hololens,2016,USD 3000-5000,Hololens2,2019,USD 3500,,,,,,,,,,Business-ready Solutions,AI ready,Azure Kinect DK & Azure Spatial Anchor,,https://www.microsoft.com/en-us/hololens#,https://developer.microsoft.com/en-us/mixed-reality
https://raw.githubusercontent.com/tianshu-z/tianshu-z.github.io/master/data/img/magicleap.jpg,Magic Leap One,Magic Leap,US,Magic Leap One,2018,USD 2295-3290,,,,,,,,,,,,,Computer Vision & Spatial Audio,Prescription Insert,LuminOS,LuminOS,https://www.magicleap.com/,https://creator.magicleap.com/home
https://raw.githubusercontent.com/tianshu-z/tianshu-z.github.io/master/data/img/daqri.jpg,DAQRI Smart Glasses,DAQRI,US,DAQRI Smart Glasses,2017,USD 4995,DAQRI Worksense,2018,,,,,,,,,,,Providing Business Solutions,seeking an asset sale,,,https://daqri.com/,
https://raw.githubusercontent.com/tianshu-z/tianshu-z.github.io/master/data/img/bt300-epson.jpg,Moverio,Epson,Japan,Moverio BT-35E,2018,GBP 699,Moverio BT-2200,2017,GBP 1780,Moverio BT-350,2018,GBP 804,Moverio BT-300,2019,GBP 599,Moverio BT-2000,2015,1780,BT-300 customized for DJI,Multiple product lines for multiple solutions,,,https://www.epson.co.uk/products/see-through-mobile-viewer,
https://raw.githubusercontent.com/tianshu-z/tianshu-z.github.io/master/data/img/raptor-everysight.jpg,Raptor,Everysight,Israel,Raptor,2018,Euro 649,,,,,,,,,,,,,Basic text head up display for sports like biking and running,Navigation and communication,,,https://everysight.com/,
https://raw.githubusercontent.com/tianshu-z/tianshu-z.github.io/master/data/img/solos-kopin.jpg,solos,Kopin,US,solos,2016,USD 499,,,,,,,,,,,,,For biking and running,Data visualization,Communication,,https://solos-wearables.com/,
https://raw.githubusercontent.com/tianshu-z/tianshu-z.github.io/master/data/img/blade-vuzix.jpg,Blade Smart Glasses,Vuzix,US,Blade,2019,Euro 760,,,,,,,,,,,,,"To C - Communication, taking photos and share, etc.",Amazon Alexa included; voice control,Health and fitness,Productivity Apps (2D interface),https://www.vuzix.com/,
https://raw.githubusercontent.com/tianshu-z/tianshu-z.github.io/master/data/img/x2-thirdeye.jpg,X2 Smart Glasses,ThirdEye,US,X2,2019,USD 1950,,,,,,,,,,,,,Enviornment Tracking,,,,https://www.thirdeyegen.com/,https://www.thirdeyegen.com/documentation/
https://raw.githubusercontent.com/tianshu-z/tianshu-z.github.io/master/data/img/HiAR-hisense.jpg,HiAR,Hisense亮风台,CN,G200,2016,RMB 16998,HiLeia,2018,,,,,,,,,,,Real-time communication,AR cloud,Smart manufacturing,Providing solution consultancy,https://www.hiscene.com/,
https://raw.githubusercontent.com/tianshu-z/tianshu-z.github.io/master/data/img/jimo-shadowcreator.jpg,JIMO,Shdow Creator影创科技,CN,JIMO,2019,,,,,,,,,,,,,,Shadow OS,,,,http://www.shadowcreator.com/jimo/jimo.html,
https://raw.githubusercontent.com/tianshu-z/tianshu-z.github.io/master/data/img/Leion-llvision.jpg,Leion,LLVision亮亮视野,CN,Leion,2019,,,,,,,,,,,,,,Binocular Waveguide,Light - 79g,,,https://www.llvision.com/#/product/leion,
https://raw.githubusercontent.com/tianshu-z/tianshu-z.github.io/master/data/img/nreal.jpg,nreal,nreal,CN,nreal,2019,USD 499-1199,,,,,,,,,,,,,Light - 85g,high performance in color and resolution,,,https://www.nreal.ai/,https://developer.nreal.ai/reference/nrsdk/overview
https://raw.githubusercontent.com/tianshu-z/tianshu-z.github.io/master/data/img/focals-north.jpg,Focals,North,CA,Focals,2019,USD 599,,,,,,,,,,,,,Custom-built and fashionable,Amazon Alexa included; voice control,For everyday use; basic productivity apps included,Full-color retinal projection,https://www.bynorth.com/,
