id,Province Name,Shorthand,Population(万人),Size(万平方千米),aGDP,code
0,河北,冀,7556.3,18.88,47772,hb
1,山西,晋,3718.34,15.67,45328,sx
2,吉林,吉,2704.06,18.74,55611,jl
3,辽宁,辽,4368.9,14.8,54745,ln
4,黑龙江,黑,3773.1,47.3,43274,hlj
5,陕西,秦,3864.4,20.56,63477,shx
6,甘肃,陇,2637.26,42.59,31336,gs
7,青海,青,603.23,72.23,47689,qh
8,山东,鲁,10047.24,15.71,76267,sd
9,福建,闽,3941,12.4,91197,fj
10,浙江,浙,5737,10.55,98643,zj
11,台湾,台,2358,3.62,165400,tw
12,河南,豫,9605,16.7,50152,hn
13,湖北,鄂,5917,18.59,66531,hb
14,湖南,湘,6898.8,21.18,52949,hun
15,江西,赣,4847.6,16.7,47304,jx
16,江苏,苏,8050.7,10.72,115168,js
17,安徽,皖,6323.6,14.01,47712,ah
18,广东,粤,11346,17.97,86412,gd
19,海南,琼,934.32,3.39,51955,han
20,四川,蜀,8341,48.6,44651,sc
21,贵州,贵,3600,17.6,41244,gz
22,云南,滇,4829.5,39.4,37136,yn
23,北京,京,2154.2,1.64,140000,bj
24,上海,沪,2423.78,0.63,135000,sh
25,天津,津,1559.6,1.19,120000,tj
26,重庆,渝,3101.79,8.24,65933,cq
27,内蒙古自治区,蒙,2470.6,118.3,63786,nmg
28,新疆维吾尔自治区,新,2486.76,166,40607,xj
29,宁夏回族自治区,宁,688.11,6.64,53846,nx
30,广西壮族自治区,桂,4926,23.76,41489,gx
31,西藏自治区,藏,343.83,120.22,42976,xz
32,香港,港,748.25,0.11,335000,hk
33,澳门,澳,63.16,0.0033,596000,mc
